Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2017-04-16,ITO,197.41666666666666,4,2017,6,Spring,165.8,201.2388888888889,242.0844839942666
2017-04-17,ITO,168.95,4,2017,0,Spring,197.41666666666666,177.38888888888889,232.41895604395606
2017-04-18,ITO,269.2916666666667,4,2017,1,Spring,168.95,211.8861111111111,220.13095238095235
2017-04-19,ITO,249.875,4,2017,2,Spring,269.2916666666667,229.37222222222226,224.25595238095235
2017-04-20,ITO,120.29166666666667,4,2017,3,Spring,249.875,213.1527777777778,201.73214285714286
2017-04-21,ITO,121.16666666666667,4,2017,4,Spring,120.29166666666667,163.7777777777778,184.68452380952382
2017-04-22,ITO,105.41666666666667,4,2017,5,Spring,121.16666666666667,115.62500000000001,176.05833333333337
2017-04-23,ITO,83.20833333333333,4,2017,6,Spring,105.41666666666667,103.26388888888891,159.74285714285716
2017-04-24,ITO,98.0,4,2017,0,Spring,83.20833333333333,95.54166666666669,149.60714285714286
2017-04-25,ITO,144.95833333333334,4,2017,1,Spring,98.0,108.72222222222224,131.8452380952381
2017-04-26,ITO,177.5,4,2017,2,Spring,144.95833333333334,140.1527777777778,121.5059523809524
2017-04-27,ITO,156.41666666666666,4,2017,3,Spring,177.5,159.62500000000003,126.66666666666667
2017-05-01,ITO,137.875,5,2017,0,Spring,156.41666666666666,157.2638888888889,129.05357142857142
2017-05-02,ITO,180.41176470588235,5,2017,1,Spring,137.875,158.23447712418303,139.7671568627451
2017-05-03,ITO,246.0,5,2017,2,Spring,180.41176470588235,188.09558823529414,163.0231092436975
2017-05-04,ITO,179.33333333333334,5,2017,3,Spring,246.0,201.91503267973857,174.6421568627451
2017-05-05,ITO,296.2083333333333,5,2017,4,Spring,179.33333333333334,240.5138888888889,196.24929971988794
2017-05-06,ITO,275.54545454545456,5,2017,5,Spring,296.2083333333333,250.36237373737376,210.25579322638146
2017-05-07,ITO,200.30769230769232,5,2017,6,Spring,275.54545454545456,257.35382672882673,216.52593974652797
2017-05-08,ITO,284.25,5,2017,0,Spring,200.30769230769232,253.36771561771562,237.43665403224227
2017-05-09,ITO,238.83333333333334,5,2017,1,Spring,284.25,241.13034188034192,245.78259240759238
2017-05-10,ITO,269.2916666666667,5,2017,2,Spring,238.83333333333334,264.12500000000006,249.10997335997337
2017-05-11,ITO,277.5,5,2017,3,Spring,269.2916666666667,261.875,263.1337828837829
2017-05-12,ITO,351.5416666666667,5,2017,4,Spring,277.5,299.44444444444446,271.0385447885448
2017-05-13,ITO,330.09090909090907,5,2017,5,Spring,351.5416666666667,319.7108585858586,278.8307525807526
2017-05-14,ITO,246.83333333333334,5,2017,6,Spring,330.09090909090907,309.4886363636364,285.4772727272727
2017-05-15,ITO,274.9583333333333,5,2017,0,Spring,246.83333333333334,283.9608585858586,284.1498917748918
2017-05-16,ITO,269.0416666666667,5,2017,1,Spring,274.9583333333333,263.61111111111114,288.465367965368
2017-05-17,ITO,243.125,5,2017,2,Spring,269.0416666666667,262.375,284.7272727272727
2017-05-18,ITO,224.16666666666666,5,2017,3,Spring,243.125,245.44444444444449,277.1082251082251
